"Taylor",17,0
"Marsh",16,0
"Boon",18,0
"Jones.D",19,0
"Border",17,10
"Healy",12,0
"Waugh.M",16,14
"Waugh.S",16,14
"Hughes",9,15
"Reid",5,19
"McDermott",4,17
"Gooch",19,10
"Hick",16,8
"Smith.R",18,0
"Fairbro'",17,0
"Botham",15,15
"Stewart",17,0
"Reeve",11,15
"Lewis"13,18
"Pringle.D",11,15
"DeFreitas",10,18
"Tufnell",3,17
"Srikkanth",16,0
"Manjrekar",17,0
"Azharuddin",19,0
"Tendulkar",19,0
"Shastri",16,13
"More",12,0
"Raju",9,15
"Banjaree",6,18
"Amre",6,15
"Dev",14,18
"Prabhakar",7,16
"Wright",18,0
"Jones.A",16,0
"Crowe.M",19,0
"Greatbatch",15,0
"Patel",15,13
"Smith.I",10,0
"Latham",12,13
"Cairns",8,16
"Pringle.C",6,14
"Watson",4,16
"Morrison",5,18
"Raja",15,0
"Anwar",16,0
"Ijaz",15,0
"Miandad",18,0
"Malik",15,12
"Khan.M",14,0
"Khan.I",15,18
"Akram",13,18
"Aquib",8,16
"Jaffer",7,15
"Younis",5,20
"Wessels",17,0
"Hudson",15,0
"Kirstein",16,0
"Pienaar",15,0
"Kuiper",15,15
"Rich'dson.D",10,0
"Shaw",15,13
"Pringle.M",12,15
"Snell",10,15
"McMillan",5,16
"Donald",5,18
"Kuruppu",16,0
"Gurusinha",15,0
"Silva.S",15,0
"Samar'kera",13,0
"DeSilva.A",15,12
"Tillek'tne",10,0
"Ratnayake",15,18
"Ranatangua",11,16
"Anurasiri",2,17
"DeMel",5,13
"Wijeg'dene",2,12
"Haynes",19,0
"Simmons",15,0
"Rich'son.R",18,0
"Hooper",16,0
"Logie",15,13
"Williams",12,0
"Marshall",13,18
"Ambrose",8,18
"Walsh",7,18
"Bishop",5,20
"Patterson",5,16
"Brown",15,0
"Pycroft",14,0
"Houghton",16,0
"Arnott",13,0
"Duers",12,12
"Flower.A",10,0
"Butchart",11,10
"Jarvis.M",5,11
"Traicos",5,11
"Shah",5,13
"Brandes",3,13
"Orthodox"
"This is the standard field setting used in international one-day matches "
416
95
414
249
251
125
283
273
331
203
355
147
443
245
501
91
491
163
491
203
519
271
400
195
390
140
"Defensive"
"This field keeps the run rate down, the chance of taking a wicket is less"
416
95
414
249
251
165
283
273
331
203
331
127
356
85
501
91
491
147
491
225
571
185
400
195
390
140
"Semi-Attacking"
"A combination of men on the boundary and men close to the batsman        "
416
95
414
249
251
205
283
273
311
165
346
85
438
